DIFF;TOF;AGE;R7;R8;R17;R22;R32
1,00;2,00;45,00;0.416;0.255;0.0769;10005,00;0.2263
1,00;3,00;40,00;0.254;0.9158;0.0758;15371,00;0.2944
1,00;1,00;39,00;0.884;0.3305;0.0429;0.5014;0.2505
1,00;1,00;45,00;0.359;0.8797;0.0906;0.09821;0.3137
1,00;3,00;40,00;0.227;0.1527;0.114;0.308;0.4201
0,00;3,00;43,00;0.92;0.7598;0.0662;0.4244;0.2903
1,00;2,00;48,00;0.553;0.2844;0.0552;0.7355;0.3606
0,00;3,00;46,00;1458,00;0.8797;0.0836;0.3448;0.07057
0,00;3,00;37,00;0.994;0.1888;0.0727;0.3299;0.1099
0,00;5,00;32,00;0.626;0.06409;0.0463;0.3262;0.1446
1,00;3,00;48,00;0.723;0.691;0.0594;11711,00;0.3627
0,00;3,00;34,00;1494,00;0.04883;0.0497;0.4679;0.1366
1,00;1,00;35,00;1241,00;0.6117;0.0651;0.2552;0.3207
1,00;3,00;37,00;0.503;0.1791;0.0604;0.6184;0.2992
1,00;4,00;33,00;1241,00;0.8797;0.0296;0.3873;0.402
0,00;1,00;49,00;0.414;0.187;0.0929;0.3945;0.1966
1,00;1,00;61,00;0.0695;0.1973;0.0202;0.6902;0.3953
1,00;1,00;52,00;0.0695;0.08641;0.0449;0.5263;0.3178
1,00;1,00;49,00;0.904;0.1789;0.0448;0.3328;0.3947
0,00;3,00;31,00;0.817;0.1905;0.0786;0.4033;0.2014
0,00;3,00;37,00;1151,00;0.6427;0.0562;0.6155;0.1285
1,00;3,00;54,00;0.322;0.06307;0.0755;0.3968;0.3859
1,00;3,00;43,00;0.335;0.1118;0.0691;0.5215;0.386
1,00;3,00;45,00;0.0851;0.1406;0.0303;15371,00;0.2814
1,00;3,00;55,00;0.201;0.2771;0.0377;0.8755;0.2002
1,00;1,00;50,00;0.762;0.06485;0.106;0.9795;0.3404
0,00;2,00;34,00;0.743;0.318;0.053;0.301;0.186
0,00;3,00;31,00;0.841;0.1174;0.114;0.4644;0.1217
0,00;3,00;44,00;0.793;0.1044;0.0759;0.09821;-0.0979
1,00;1,00;40,00;0.527;0.4538;0.104;0.3938;0.392
0,00;3,00;38,00;0.775;0.3167;0.0685;0.2925;0.2511
0,00;5,00;32,00;0.978;0.6027;0.104;0.3305;0.09578
0,00;3,00;47,00;0.909;0.1059;0.094;0.8297;0.07789
1,00;1,00;40,00;0.588;0.2295;0.0918;0.8628;0.4022
0,00;3,00;29,00;1.19;0.1412;0.087;0.2839;0.04425
1,00;2,00;47,00;0.291;0.6263;0.0496;13258,00;0.3243
1,00;1,00;39,00;0.521;0.4277;0.0392;23547,00;0.3555
1,00;3,00;44,00;0.337;0.3839;0.102;10276,00;0.2982
1,00;5,00;30,00;0.886;0.4093;0.03;0.09574;0.3868
1,00;3,00;53,00;0.161;0.7691;0.0809;0.4235;0.4475
1,00;1,00;32,00;0.866;0.6284;0.059;0.5327;0.3942
0,00;2,00;39,00;1366,00;0.1339;0.0649;0.1496;0.0404
0,00;1,00;36,00;0.991;0.4595;0.107;1,00;0.1678
1,00;3,00;53,00;0.373;0.1853;0.0695;0.7542;0.3653
1,00;2,00;45,00;0.365;0.1267;0.0675;0.3371;0.2713
1,00;4,00;49,00;0.263;0.6082;0.0879;1297,00;0.3031
0,00;2,00;47,00;0.894;0.07675;0.0799;0.1574;0.1616
1,00;2,00;51,00;0.397;0.2314;0.0349;0.5081;0.3314
1,00;3,00;49,00;0.507;0.7512;0.0947;0.09821;0.273
1,00;2,00;35,00;0.303;0.5907;0.0378;0.3632;0.4601
0,00;4,00;45,00;0.283;0.8797;0.0795;15371,00;0.1328
0,00;4,00;53,00;0.476;0.1335;0.0202;14966,00;0.1334
0,00;1,00;46,00;1002,00;0.4221;0.114;0.4296;0.3134
1,00;2,00;49,00;0.478;0.1378;0.0333;0.562;0.1881
0,00;1,00;44,00;0.254;0.1396;0.0965;0.2608;0.1766
0,00;2,00;42,00;0.713;0.8797;0.0697;0.1388;0.1426
1,00;5,00;32,00;0.454;0.7685;0.0954;2444,00;0.4505
0,00;2,00;47,00;0.103;0.5133;0.0695;0.5899;0.1433
1,00;3,00;59,00;0.0695;0.1163;0.0202;0.699;0.342
1,00;3,00;40,00;0.707;0.08361;0.0817;0.4788;0.3069
0,00;2,00;59,00;1541,00;0.1206;0.0605;0.9608;-0.0514
0,00;1,00;43,00;0.512;0.7767;0.114;10766,00;0.1717
1,00;1,00;37,00;0.271;0.07034;0.0286;0.2079;0.4816
0,00;3,00;49,00;0.778;0.5808;0.0932;0.4772;0.1665
0,00;3,00;42,00;0.125;0.3109;0.0629;0.4727;0.3227
1,00;2,00;41,00;0.547;11139,00;0.0364;0.5032;0.2455
0,00;3,00;46,00;1417,00;0.1789;0.0501;23149,00;0.1086
0,00;5,00;32,00;0.826;0.3652;0.0419;0.2176;0.02498
0,00;2,00;58,00;0.276;0.6163;0.102;0.3629;0.1913
0,00;1,00;54,00;2557,00;0.1183;0.0513;0.8573;0.1093
0,00;3,00;38,00;0.67;0.6144;0.109;0.1775;0.04989
1,00;2,00;52,00;0.818;10682,00;0.0649;0.1469;0.4075
1,00;2,00;33,00;0.218;0.771;0.046;0.5267;0.3308
0,00;2,00;44,00;0.637;0.5866;0.0616;0.4565;0.1623
1,00;3,00;42,00;1077,00;0.04883;0.067;0.3656;0.364
0,00;2,00;38,00;1824,00;1661,00;0.05;0.1193;-0.0365
1,00;1,00;28,00;0.635;10894,00;0.0646;0.5654;0.249
0,00;3,00;42,00;0.0824;0.9448;0.0856;0.4461;0.3402
1,00;3,00;49,00;0.643;0.4251;0.0663;0.1016;0.3552
1,00;3,00;48,00;0.175;0.3118;0.0601;22258,00;0.4505
0,00;3,00;40,00;0.801;0.6542;0.0919;0.09821;0.1342
1,00;2,00;59,00;0.2;0.2658;0.0203;10395,00;0.3293
1,00;2,00;29,00;0.502;0.4115;0.0549;10019,00;0.2714
0,00;3,00;40,00;0.528;0.5928;0.112;0.4453;0.2435
1,00;3,00;42,00;0.864;0.1288;0.0526;0.7585;0.3306
0,00;3,00;43,00;0.665;0.679;0.0726;14747,00;0.4059
0,00;1,00;49,00;2476,00;0.2492;0.0903;0.569;0.2787
0,00;1,00;52,00;0.447;0.04883;0.0829;0.5136;0.3103
1,00;2,00;42,00;0.477;0.09674;0.067;0.3947;0.2759
0,00;3,00;50,00;0.388;0.22;0.0687;0.8046;0.19
1,00;2,00;30,00;0.707;0.5651;0.0316;0.9114;0.3709
1,00;1,00;39,00;0.677;0.1467;0.0384;0.5137;0.3357
1,00;5,00;28,00;0.372;0.08673;0.067;0.1254;0.3431
1,00;1,00;41,00;0.341;18494,00;0.103;0.4188;0.3542
0,00;2,00;55,00;0.6;0.635;0.0529;48453,00;0.2957
1,00;3,00;39,00;1021,00;0.1923;0.0458;0.6398;0.2888
0,00;5,00;41,00;0.508;0.3742;0.0672;0.5615;0.2766
1,00;2,00;49,00;0.0695;0.1819;0.0387;0.1227;0.3626
1,00;2,00;50,00;0.481;0.1046;0.032;0.5248;0.3153
0,00;3,00;42,00;0.208;0.09553;0.0241;0.4842;0.08045
1,00;2,00;50,00;0.33;0.04883;0.0334;0.09821;0.3276
1,00;4,00;49,00;0.34;0.05356;0.0773;0.9392;0.1944
1,00;1,00;58,00;0.0695;0.5628;0.0202;0.5611;0.2753
1,00;5,00;56,00;0.101;18494,00;0.0532;0.2194;0.2803
0,00;3,00;48,00;0.785;0.8797;0.114;0.09821;0.1946
0,00;1,00;55,00;0.148;-0.824;0.0262;0.1193;0.3211
0,00;5,00;41,00;0.719;0.1387;0.0695;11188,00;0.1846
1,00;3,00;49,00;0.211;0.073;0.0365;0.1464;0.368
1,00;2,00;36,00;0.513;0.06741;0.0374;0.518;0.4077
0,00;2,00;46,00;0.36;0.08311;0.0383;20786,00;0.2214
1,00;1,00;52,00;0.14;0.61;0.053;0.127;0.3244
1,00;2,00;55,00;0.129;0.2835;0.0628;0.2298;0.325
1,00;2,00;46,00;0.101;0.08603;0.042;10094,00;0.2493
1,00;1,00;45,00;0.843;0.9594;0.0554;0.8982;0.3759
1,00;2,00;60,00;0.924;0.9684;0.0832;10563,00;0.326
1,00;1,00;35,00;0.371;0.2605;0.114;0.5256;0.3238
1,00;3,00;37,00;0.284;0.107;0.0437;0.8975;0.4154
0,00;1,00;40,00;0.467;0.2356;0.048;10386,00;0.2367
0,00;2,00;58,00;0.269;0.09703;0.114;0.4069;0.05513
0,00;3,00;30,00;0.371;0.2314;0.0812;0.3193;0.1241
1,00;4,00;51,00;0.123;0.3902;0.0413;0.4307;0.2523
1,00;1,00;43,00;0.182;0.1249;0.0307;0.738;0.4313
1,00;1,00;46,00;0.447;0.5182;0.0652;0.1928;0.3587
0,00;2,00;47,00;1005,00;0.7025;0.0787;0.2314;0.1135
1,00;3,00;47,00;0.473;0.4447;0.0599;51109,00;0.2493
1,00;3,00;55,00;0.313;0.6652;0.0407;0.2922;0.2068
1,00;3,00;28,00;1241,00;0.3146;0.0529;0.09821;0.4079
0,00;6,00;33,00;1.13;0.08314;0.068;0.3698;0.1451
0,00;2,00;41,00;0.811;0.054;0.0648;0.8216;0.2257
1,00;3,00;49,00;0.253;0.1786;0.0347;0.8628;0.2725
0,00;2,00;40,00;0.915;0.1287;0.0717;0.1643;0.2336
0,00;1,00;29,00;0.29;0.1155;0.104;0.3018;0.1288
0,00;1,00;49,00;3117,00;0.569;0.0773;0.1592;0.08083
0,00;1,00;39,00;0.686;0.1511;0.079;0.3768;0.1498
0,00;4,00;53,00;0.495;12155,00;0.065;0.3479;0.1092
1,00;2,00;36,00;0.901;0.216;0.0675;0.4631;0.2355
1,00;1,00;47,00;0.0884;0.6449;0.0202;0.5306;0.3838
1,00;3,00;60,00;0.0695;0.6038;0.0202;10215,00;0.2006
1,00;3,00;40,00;0.955;0.115;0.0709;0.7695;0.2016
1,00;1,00;34,00;0.481;18494,00;0.0446;0.15;0.2446
1,00;1,00;35,00;0.467;0.1313;0.0562;0.4424;0.296
0,00;3,00;43,00;0.251;0.3581;0.103;0.3406;0.2142
0,00;1,00;42,00;0.0695;0.1438;0.065;0.33;0.1746
0,00;2,00;48,00;1704,00;0.2356;0.0844;0.7916;0.4266
0,00;3,00;30,00;0.86;0.6499;0.0474;0.5112;0.1725
1,00;3,00;45,00;0.394;0.6238;0.0321;0.433;0.3209
0,00;3,00;41,00;0.353;0.4181;0.114;0.1733;0.2279
0,00;3,00;44,00;0.704;0.08355;0.0452;0.5771;0.272
1,00;3,00;45,00;0.276;0.114;0.0586;0.1191;0.3688
1,00;2,00;30,00;0.519;0.04217;0.0393;0.2786;0.433
1,00;3,00;29,00;0.852;0.05797;0.0545;0.2749;0.3021
0,00;4,00;37,00;1.02;0.75;0.0783;0.3151;0.3584
1,00;2,00;28,00;0.538;0.4422;0.0572;0.4375;0.3498
0,00;1,00;34,00;0.879;0.4892;0.0265;0.09821;0.2435
1,00;5,00;45,00;0.101;0.5054;0.0841;0.9076;0.3584
0,00;4,00;35,00;1.06;0.2456;0.088;0.3738;-0.0787
0,00;2,00;46,00;0.311;0.1465;0.109;0.4481;0.2829
1,00;3,00;49,00;0.62;0.2891;0.0521;0.315;0.4029
0,00;2,00;43,00;0.686;0.8797;0.0405;11559,00;0.2909
1,00;1,00;49,00;0.585;0.3317;0.063;0.4207;0.1882
1,00;2,00;48,00;0.446;0.07078;0.0772;0.3771;0.3827
0,00;2,00;56,00;0.472;0.2228;0.088;0.8964;0.05513
0,00;1,00;36,00;1089,00;0.8797;0.0745;0.2535;0.2541
0,00;3,00;62,00;1029,00;0.09568;0.107;0.4969;0.08475
0,00;1,00;36,00;0.939;0.3921;0.0955;0.3578;0.3664
0,00;2,00;29,00;0.996;0.0672;0.122;0.5027;-0.0496
0,00;1,00;59,00;0.308;0.9933;0.0823;0.4497;0.137
0,00;5,00;30,00;0.789;0.5473;0.0706;11044,00;0.09876
1,00;1,00;35,00;1241,00;0.7936;0.0701;0.2305;0.3686
1,00;1,00;51,00;0.0695;0.7836;0.0202;10632,00;0.3584
0,00;4,00;43,00;0.414;0.5082;0.114;0.337;0.1551
0,00;3,00;48,00;0.91;0.125;0.114;0.1926;0.05513
1,00;1,00;28,00;0.653;0.1366;0.0497;0.8885;0.235
0,00;5,00;28,00;0.668;0.04883;0.0582;0.9867;0.2987
0,00;1,00;30,00;0.636;0.08006;0.0541;0.3622;0.365
1,00;1,00;46,00;0.572;0.4618;0.0774;0.421;0.2426
1,00;1,00;48,00;0.607;0.04217;0.0825;0.3727;0.3567
0,00;2,00;57,00;1357,00;0.2754;0.0511;0.4501;0.1901
0,00;2,00;55,00;0.739;0.1501;0.0684;0.1008;0.2478
0,00;3,00;38,00;0.639;0.4826;0.0995;0.4526;0.2712
1,00;3,00;47,00;0.328;0.05978;0.0652;39397,00;0.338
1,00;2,00;24,00;1432,00;0.1076;0.0571;0.2851;0.00192
0,00;2,00;46,00;1379,00;0.5621;0.0503;0.1998;0.1229
1,00;3,00;38,00;0.637;0.2389;0.0521;0.6892;0.3325
1,00;3,00;31,00;0.159;0.2947;0.0665;0.2567;0.3363
1,00;5,00;58,00;0.101;0.1244;0.0313;0.5989;0.3973
1,00;2,00;30,00;1347,00;18494,00;0.0293;0.3122;0.3892
0,00;3,00;53,00;0.739;0.04883;0.106;0.2194;0.1765
0,00;3,00;42,00;1117,00;0.4761;0.092;10777,00;0.1498
0,00;3,00;44,00;0.0695;0.6055;0.0202;0.8235;0.3081
1,00;2,00;41,00;0.815;0.09554;0.0406;0.4141;0.2711
0,00;3,00;30,00;1.15;0.2174;0.0722;15371,00;0.2049
1,00;3,00;40,00;0.485;0.1983;0.0649;0.2736;0.3787
0,00;2,00;56,00;1.15;0.6179;0.0637;0.5775;0.1616
1,00;2,00;49,00;0.351;0.09589;0.0229;0.3999;0.269
0,00;1,00;48,00;0.714;0.2408;0.0674;0.6446;0.243
1,00;1,00;54,00;0.96;0.2771;0.0566;0.623;0.1902
1,00;1,00;42,00;0.257;0.6026;0.0393;15371,00;0.318
1,00;1,00;52,00;0.0757;0.09435;0.0568;0.6414;0.3227
0,00;2,00;56,00;0.615;0.1013;0.0777;0.1158;0.1437
1,00;2,00;45,00;0.126;0.1111;0.0625;0.4014;0.4313
1,00;3,00;35,00;0.333;0.2254;0.0656;0.5078;0.2902
0,00;1,00;46,00;0.355;0.04883;0.072;0.1982;0.2326
0,00;1,00;30,00;1241,00;0.05572;0.0311;15154,00;0.05513
0,00;2,00;50,00;0.141;0.1541;0.0514;0.2244;0.4773
1,00;1,00;47,00;0.593;0.197;0.045;0.1418;0.3352
0,00;1,00;30,00;0.455;0.1262;0.0673;0.5753;0.1601
0,00;2,00;35,00;2296,00;0.3895;0.0325;0.1995;-0.00285
0,00;5,00;46,00;0.998;0.06468;0.0786;0.4884;0.2346
0,00;3,00;42,00;0.204;0.4284;0.0828;23107,00;0.2619
1,00;3,00;39,00;0.856;0.2041;0.0516;0.09821;0.3524
0,00;1,00;47,00;0.528;0.4816;0.0627;0.7496;0.1903
0,00;2,00;59,00;0.256;0.6406;0.114;0.09821;0.1101
1,00;2,00;36,00;0.57;18494,00;0.0319;0.6087;0.2728
0,00;3,00;53,00;0.299;0.6721;0.063;0.3233;0.1299
1,00;1,00;49,00;0.632;0.2477;0.0415;0.425;0.4025
1,00;2,00;35,00;0.385;0.1781;0.0264;0.8618;0.4272
0,00;3,00;29,00;1102,00;0.5426;0.101;0.8073;0.1268
1,00;5,00;38,00;0.403;0.1639;0.124;0.4935;0.2696
1,00;3,00;43,00;0.308;0.06879;0.041;0.5969;0.4313
0,00;3,00;56,00;0.509;0.08817;0.098;0.549;0.2807
0,00;3,00;53,00;0.41;0.2989;0.0936;10.84;0.1993
0,00;3,00;34,00;1005,00;0.2999;0.0528;0.2;0.2041
1,00;1,00;39,00;0.563;0.3709;0.0668;0.1676;0.308
1,00;3,00;43,00;0.464;0.141;0.0586;0.5754;0.4313
0,00;3,00;37,00;0.682;0.04217;0.0427;39397,00;0.1964
1,00;3,00;45,00;0.149;0.5222;0.0461;0.5289;0.1811
1,00;3,00;55,00;0.12;0.6755;0.0721;10192,00;0.2773
1,00;3,00;60,00;0.0695;0.6515;0.0202;0.6399;0.2981
0,00;3,00;58,00;0.426;0.6784;0.0846;0.1908;0.2308
1,00;5,00;38,00;0.859;0.08007;0.0449;0.6094;0.3978
0,00;2,00;44,00;0.504;0.3611;0.08;0.2155;0.2313
0,00;2,00;48,00;1875,00;0.2855;0.0697;0.5093;-0.023
1,00;1,00;30,00;0.761;0.8797;0.0879;0.261;0.3886
0,00;2,00;59,00;0.88;13266,00;0.194;0.4032;0.05071
1,00;1,00;45,00;0.127;0.9244;0.0536;17475,00;0.3907
1,00;1,00;46,00;0.481;0.1025;0.0525;19037,00;0.2064
0,00;3,00;37,00;0.454;0.1379;0.0681;0.4405;0.1546
0,00;3,00;37,00;0.443;0.1637;0.0874;11091,00;0.1877
0,00;3,00;50,00;0.549;0.4548;0.0968;1315,00;0.1327
1,00;3,00;44,00;0.367;0.4765;0.0979;0.4551;0.2158
0,00;6,00;50,00;2557,00;0.5015;0.0488;12481,00;-0.0979
0,00;3,00;29,00;1348,00;0.5261;0.0623;0.3455;0.09787
0,00;3,00;43,00;0.195;0.339;0.124;0.2273;0.13
0,00;6,00;33,00;1397,00;0.4951;0.0402;0.6293;0.1156
1,00;1,00;46,00;0.58;0.5186;0.062;0.2897;0.3364
1,00;3,00;31,00;0.31;0.09946;0.0489;0.4426;0.2985
1,00;3,00;42,00;0.989;0.8797;0.033;0.6507;0.2902
1,00;2,00;35,00;0.574;0.7002;0.0792;0.6062;0.3595
1,00;1,00;34,00;1173,00;0.2003;0.0405;0.265;0.2921
0,00;2,00;47,00;0.876;0.2933;0.0844;0.6503;0.2072
1,00;1,00;45,00;0.641;0.5844;0.043;0.09821;0.4313
1,00;3,00;45,00;0.416;0.4355;0.0402;0.5596;0.2976
0,00;1,00;38,00;0.364;0.07589;0.0869;13482,00;0.1166
1,00;5,00;53,00;0.357;0.103;0.03;0.1623;0.3293
