DIFF;TOF;AGE;R7;R8;R17;R22;R32
0;2;56;0.886;0.8797;0.117;0.6582;-0.142
0;2;43;0.614;0.2464;0.0541;0.3437;0.3235
0;1;48;0.592;0.2124;0.06;10.795;0.3831
0;2;41;0.665;0.1174;0.0403;15.349;0.26
0;6;32;2.557;0.09848;0.0444;0.178;0.1407
1;2;55;0.172;0.8797;0.0572;13.673;0.2227
0;4;34;1.241;0.5346;0.0448;0.5551;0.404
1;1;43;0.223;0.04217;0.0256;0.3058;0.4313
1;2;49;0.085;0.1787;0.0409;0.2734;0.3448
1;1;45;0.523;0.3893;0.0243;0.2744;0.4257
1;3;40;0.378;0.1869;0.0513;0.2044;0.3003
1;2;30;0.543;1.138;0.0418;0.4653;0.4139
0;6;45;0.816;0.3709;0.111;0.3;0.2229
1;3;43;0.373;0.1265;0.0857;0.4181;0.3713
0;5;28;0.19;0.1093;0.053;0.5433;0.1446
1;1;31;0.243;0.5342;0.0354;0.366;0.3796
0;3;34;1.072;0.5359;0.0792;0.5213;0.1498
0;3;52;0.284;0.2239;0.0692;0.3002;0.06608
0;3;44;0.467;0.04941;0.11;0.228;0.2511
1;3;38;0.806;0.452;0.0428;0.2039;0.3725
1;3;44;0.631;0.1729;0.0664;0.4181;0.3098
0;3;37;0.614;0.7383;0.0815;0.2909;0.2058
0;2;35;2.309;0.4958;0.0471;0.2069;0.3274
1;2;47;0.332;0.2899;0.0568;0.4277;0.2301
1;1;59;0.101;0.1948;0.124;0.4593;0.2327
1;2;50;0.402;0.2029;0.0287;0.4427;0.2747
1;2;55;0.0936;0.556;0.0362;0.8095;0.4121
1;1;35;1.241;0.2116;0.0938;0.6719;0.3277
0;1;43;0.659;0.146;0.114;0.2043;0.2041
1;3;37;0.222;0.135;0.0394;0.4935;0.3582
0;3;36;0.964;0.1143;0.0737;0.5641;0.1161
1;1;46;0.459;0.3745;0.0847;0.7471;0.4071
0;1;51;0.317;0.04883;0.0718;0.519;0.2231
0;1;49;2.8;0.05444;0.0634;0.3292;-0.0758
1;2;48;0.404;0.4397;0.064;0.6912;0.3731
1;1;46;0.584;0.4835;0.0572;0.114;0.2016
0;3;38;0.419;0.8838;0.0865;0.3657;0.1659
1;3;36;0.11;0.09116;0.0421;0.3279;0.3337
1;1;52;0.586;0.155;0.0762;0.199;0.2733
0;1;52;0.547;0.1138;0.104;10.389;0.2437
0;3;42;1.556;0.05216;0.091;0.1591;-0.0227
1;1;58;0.0994;0.07746;0.0266;0.4067;0.434
1;1;37;0.384;0.5517;0.0382;10.551;0.4084
1;1;58;0.723;0.1879;0.0557;10.319;0.3504
0;3;30;1.241;0.3697;0.0438;0.3841;0.05513
1;3;55;0.514;0.1036;0.0526;15.371;0.2043
1;3;48;0.584;0.5599;0.0395;23.285;0.4164
0;1;33;0.423;0.4565;0.0778;0.7974;0.222
1;5;38;0.841;0.134;0.0414;0.5594;0.3077
0;1;40;1.524;0.8586;0.0479;0.7093;0.4213
0;5;41;0.602;0.785;0.0652;0.4428;0.162
1;3;49;0.253;0.05697;0.0393;0.2886;0.3559
0;3;40;0.875;0.4386;0.114;0.8921;0.1583
0;3;50;0.395;0.8116;0.121;0.3719;0.1355
1;1;27;0.791;0.1393;0.0529;15.371;0.2976
0;3;44;0.572;0.2576;0.066;0.9347;0.2892
1;1;49;0.471;0.55;0.0566;0.3149;0.348
0;1;56;0.739;0.5745;0.0355;0.553;0.1929
1;3;54;0.631;0.05324;0.0708;49.711;0.1888
1;1;39;0.789;0.8351;0.061;0.592;0.2928
0;5;32;1.026;0.1004;0.047;39.397;0.1413
0;2;49;0.366;0.04217;0.0528;0.2569;-0.001
